Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10803272,2020-02-04 22:21:12,2019-12-30 08:28:22,5304,1211022,0,228,0,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR010/10803/SRR10803272/SRR10803272.lite.1,SRX7477226,mid41,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920856,SAMN13698595,simple,1447863,clinical metagenome,mid41,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,ADCA91042F2A8F7937EF7C95F13B296D,C8C26E45896CB31F0188733B6268104C
SRR10803271,2020-02-04 22:21:12,2019-12-30 08:28:34,199283,45465467,0,228,31,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803271/SRR10803271.lite.1,SRX7477227,mid42,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920857,SAMN13698596,simple,1447863,clinical metagenome,mid42,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,FE2888469BB5EAB3DA50552C7FEAB3B6,D00B1FD80D777E08D6DB523698A1E165
SRR10803270,2020-02-04 22:21:12,2019-12-30 08:28:29,294704,66693948,0,226,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803270/SRR10803270.lite.1,SRX7477228,mid43,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920858,SAMN13698597,simple,1447863,clinical metagenome,mid43,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,B902B244411F1A2D61DE12DE944E18FB,3D659D0549A9671B3CB39218201D0250
SRR10803269,2020-02-04 22:21:12,2019-12-30 08:28:32,249731,54267006,0,217,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803269/SRR10803269.lite.1,SRX7477229,mid44,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920859,SAMN13698598,simple,1447863,clinical metagenome,mid44,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,0D69FD5218ECDA8469EC336467002183,872ED9397D3A9489C7C89461EC5A00AC
SRR10803268,2020-02-04 22:21:12,2019-12-30 08:28:34,421118,103784010,0,246,70,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803268/SRR10803268.lite.1,SRX7477230,mid45,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920860,SAMN13698599,simple,1447863,clinical metagenome,mid45,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,C39514E696F5634F4B5AABEBD8AF2DBD,F9B31E8FEB94F66FC2F6540C26FE7093
SRR10803277,2020-02-04 22:21:12,2019-12-30 08:28:52,350540,79091049,0,225,59,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803277/SRR10803277.lite.1,SRX7477221,mid37,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920851,SAMN13698591,simple,1447863,clinical metagenome,mid37,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,5ECD53629788C452CD644A61105B21C6,41ABDFC8A5A0142D7C03F8F831FA1B47
SRR10803276,2020-02-04 22:21:12,2019-12-30 08:28:48,286979,57871165,0,201,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803276/SRR10803276.lite.1,SRX7477222,mid38,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920852,SAMN13698592,simple,1447863,clinical metagenome,mid38,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,9C90C7A7E5975C66F7B30ECE487D5575,3EA631AEC374112D78C737FD1DDA49EC
SRR10803275,2020-02-04 22:21:12,2019-12-30 08:28:48,273589,58081652,0,212,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803275/SRR10803275.lite.1,SRX7477223,mid39,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920853,SAMN13698593,simple,1447863,clinical metagenome,mid39,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,C6EA34A4D5139B418FA287DA34E4AD01,FCF890340112DDD69B1B48E78591F3EB
SRR10803274,2020-02-04 22:21:12,2019-12-30 08:28:34,292270,61709868,0,211,43,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803274/SRR10803274.lite.1,SRX7477224,mid40,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920854,SAMN13698594,simple,1447863,clinical metagenome,mid40,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,D7C55F9DC289A3221106A4C83E89506B,90CB0BC7BF5B225FAD57B4F45475E536
SRR10803273,2020-02-04 22:21:12,2019-12-30 08:28:38,276372,55908277,0,202,42,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10803/SRR10803273/SRR10803273.lite.1,SRX7477225,mid5,AMPLICON,PCR,METAGENOMIC,SINGLE,0,0,ION_TORRENT,Ion Torrent PGM,SRP239048,PRJNA596613,,596613,SRS5920855,SAMN13698559,simple,1447863,clinical metagenome,mid5,,,,,,,no,,,,,"MANIPAL SCHOOL OF LIFE SCIENCES, MANIPAL ACADEMY OF HIGHER EDUCATION",SRA1017661,,public,D48A50381536415F37C5F850E7F78E69,70A6F913F016212C41C10FFAE482E849
